Date ,Time,Customer 15 minute
1/1/2015,0015,1520.96
1/1/2015,0030,1402.16
1/1/2015,0045,1349.92
1/1/2015,0100,1306.80
1/1/2015,0115,1276.64
1/1/2015,0130,1260.40
1/1/2015,0145,1280.80
1/1/2015,0200,1247.84
1/1/2015,0215,1184.80
1/1/2015,0230,1185.04
1/1/2015,0245,1165.36
1/1/2015,0300,1150.88
1/1/2015,0315,1149.12
1/1/2015,0330,1145.04
1/1/2015,0345,1148.08
1/1/2015,0400,1174.96
1/1/2015,0415,1189.12
1/1/2015,0430,1179.52
1/1/2015,0445,1200.72
1/1/2015,0500,1189.92
1/1/2015,0515,1193.28
1/1/2015,0530,1207.36
1/1/2015,0545,1204.40
1/1/2015,0600,1199.12
1/1/2015,0615,1206.16
1/1/2015,0630,1288.88
1/1/2015,0645,1257.36
1/1/2015,0700,1263.92
1/1/2015,0715,1295.44
1/1/2015,0730,1202.64
1/1/2015,0745,1191.76
1/1/2015,0800,1176.96
1/1/2015,0815,1187.20
1/1/2015,0830,1173.52
1/1/2015,0845,1182.56
1/1/2015,0900,1262.80
1/1/2015,0915,1247.36
1/1/2015,0930,1234.56
1/1/2015,0945,1230.32
1/1/2015,1000,1220.96
1/1/2015,1015,1218.24
1/1/2015,1030,1211.92
1/1/2015,1045,1240.48
1/1/2015,1100,1237.76
1/1/2015,1115,1260.80
1/1/2015,1130,1275.36
1/1/2015,1145,1263.44
1/1/2015,1200,1263.60
1/1/2015,1215,1267.44
1/1/2015,1230,1247.04
1/1/2015,1245,1229.60
1/1/2015,1300,1215.04
1/1/2015,1315,1208.00
1/1/2015,1330,1203.44
1/1/2015,1345,1213.68
1/1/2015,1400,1212.40
1/1/2015,1415,1215.20
1/1/2015,1430,1237.84
1/1/2015,1445,1250.48
1/1/2015,1500,1267.04
1/1/2015,1515,1283.76
1/1/2015,1530,1309.84
1/1/2015,1545,1290.08
1/1/2015,1600,1267.28
1/1/2015,1615,1268.00
1/1/2015,1630,1295.28
1/1/2015,1645,1202.08
1/1/2015,1700,1190.80
1/1/2015,1715,1195.44
1/1/2015,1730,1185.28
1/1/2015,1745,1163.04
1/1/2015,1800,1169.20
1/1/2015,1815,1170.80
1/1/2015,1830,1171.12
1/1/2015,1845,1163.28
1/1/2015,1900,1153.36
